Number,Group,Longitude,Latitude,HOLC_Code,HOLC_Code_groups,Income_status,acwo_abundance_nmixture,alhu_abundance_max_count,amcr_abundance_max_count,amro_abundance_max_count,anhu_abundance_nmixture,bewr_abundance_nmixture,blph_abundance_max_count,btpi_abundance_nmixture,btyw_abundance_nmixture,bush_abundance_nmixture,calt_abundance_nmixture,casj_abundance_nmixture,cora_abundance_max_count,deju_abundance_max_count,ecdo_abundance_max_count,eust_abundance_nmixture,hofi_abundance_max_count,hosp_abundance_max_count,lego_abundance_max_count,modo_abundance_nmixture,nomo_abundance_max_count,oati_abundance_nmixture,ocwa_abundance_max_count,rcki_abundance_nmixture,rcpa_abundance_nmixture,ropi_abundance_nmixture,rwwb_abundance_max_count,spto_abundance_nmixture,towa_abundance_nmixture,wcsp_abundance_nmixture,webl_abundance_max_count,yrwa_abundance_nmixture,Forest_abundance_sum,Shrub_abundance_sum,Synanthrope_abundance_sum,Natural_lands_abundance_sum,Exotic_abundance_sum,Migrant_abundance_sum,Resident_abudance_sum,Cumulative_richness,Forest_richness,Shrub_richness,Natural_lands_richness,Synanthrope_richness,Exotic_richness,Migratory_richness,Resident_richness,Building_density,Year built,Land_value,Last sale price $,Bedrooms & bathrooms,Square footage,Tree_canopy_cover,Grass cover %,Impervious_cover,Building cover %,Paved surface %,Street-tree density,Street-tree dominance,Street-tree importance value,Natural areas & wildlife sanctuaries,Ecological_sites,Regional parks & gardens,Golf courses,Cemeteries,Beaches & marinas
4,BoyleHeightsPC,-118.1961788,34.04778329,D,CD,Low,0.170526908,3,6,0,6.572567884,0.783803532,0,0.789085308,0.23256474,39.17980293,1.713357508,1.3388186,0,0,1,29.01439907,17,29,3,41.93528169,8,0.234530744,0,1.247634372,2.045599052,42.10626208,0,0.335667812,2.252265068,18.93883627,0,26.05528577,38.8932794,68.86285453,182.1015419,107.7561339,103.1662602,48.72658623,233.2197031,22,2,1,3,10,4,1,13,129,1917.25,128888.3421,10085159.42,3.414122024,941.5617708,14.48452437,20.01728362,64.40289409,41.29933458,23.0364274,1.332533013,1.238325213,1.285429113,2526.001725,9340.527922,891.7061864,3469.825109,572.5833083,24571.54751
2,BaldwinParkLow,-117.9675616,34.09860727,D,CD,Low,0.170526908,2,2,0,5.068333228,0.783803532,0,0.789085308,0.23256474,37.81599744,1.713357508,3.3388186,0,0,7,24.19477932,17,22,13,50.85248168,13,0.234530744,0,2.247634372,2.045599052,28.77117227,0,0.335667812,2.252265068,22.93928157,0,27.12317944,41.4569384,71.99525969,181.8640323,113.4521981,84.01155064,54.79492519,232.1141534,18,3,3,6,10,3,3,14,163,1949.5,114265.7562,78694.30333,4.442585429,1174.625909,21.28273108,25.06264887,49.87857033,31.38413265,18.48767907,1.608643457,0.754902101,1.181772779,1231.443684,1421.138788,1067.35212,4697.479961,4569.359569,40638.80733
9,CityofIndustryMedPC,-117.9782803,34.06137644,Not_redlined,Not_redlined,Low,0.170526908,4,0,0,5.068333228,0.783803532,0,0.789085308,0.23256474,38.81801195,1.713357508,1.3388186,1,0,12,28.9645259,14,22,8,47.01605569,6,0.234530744,0,3.485386144,2.045599052,27.46503511,0,0.335667812,3.252265068,21.93883627,0,24.77158939,39.34310013,69.99682891,172.4912158,109.339929,92.47516007,53.68064162,220.7433513,18,5,2,6,11,1,4,14,203,1954.5,118954.9674,76478.12722,5.751104439,1323.601861,14.19609418,23.50369038,57.8564257,38.53782683,19.31859887,1.380552221,1.400260048,1.390406135,2542.535585,4522.562365,503.376074,3265.693692,6111.286135,36306.28762
18,NoHoLowPC,-118.3691862,34.20481877,Not_redlined,Not_redlined,Low,0.170526908,4,1,0,5.068333228,0.783803532,0,0.789085308,0.23256474,37.81599744,1.713357508,1.3388186,4,0,8,21.31147299,11,20,9,65.85051543,11,0.234530744,0,1.247634372,2.045599052,12.89722802,0,0.335667812,2.252265068,24.55097424,0,26.78707334,38.12083232,71.60695236,170.1048155,109.7277847,64.25430007,55.07051176,214.3549366,25,3,2,4,11,2,2,14,155,1949,145184.2979,78800.18288,4.716394005,1331.893393,22.03310153,13.84429546,61.20234955,36.02797565,25.17230821,1.980792317,1.609822777,1.795307547,2217.086727,2225.133525,1627.554562,5399.660868,1499.959637,24221.61945
11,CulverCitymedPC,-118.4192587,34.00913238,C,CD,High,0.170526908,5,4,0,10.65863085,0.783803532,0,0.789085308,0.23256474,45.74403368,4.713357508,2.3388186,6,0,2,20.383038,19,20,21,45.28220761,7,0.234530744,3,6.517462162,3.045599052,10.89722802,0,0.335667812,4.612496926,26.14666434,0,38.92227089,67.47638713,90.72097631,163.6080727,158.1973634,56.32586508,79.43145906,223.3765276,19,6,4,9,13,2,5,18,157,1943.5,337147.5908,225058.8621,4.47593272,1344.051196,23.1283816,26.30011109,48.72671503,37.10520705,11.60735173,2.68907563,2.517134134,2.603104882,2019.252699,2934.330153,628.76198,3414.908234,2995.365224,4247.315049
30,TujungaLowPC,-118.2969809,34.26317401,C,CD,Low,0.170526908,7,7,0,6.068333228,0.783803532,0,2.789085308,0.23256474,42.04252941,1.713357508,1.3388186,1,0,0,21.383038,24,13,29,37.22176713,6,0.234530744,1,1.247634372,2.045599052,10.89722802,0,0.335667812,3.252265068,18.93883627,0,32.14383169,48.47759067,71.22134637,158.5476322,119.698937,47.32586508,56.81513215,213.0242853,18,6,1,6,10,2,3,14,91,1949,172505.4643,118334.1383,4.241161617,1345.320392,20.86543904,23.76805316,54.05530085,32.36770968,21.48359354,0.612244898,0.614399817,0.613322358,995.497134,1064.629185,574.252077,2651.169254,1047.858327,33062.65068
28,SouthGateMediumPC,-118.190025,33.93983776,C,CD,Medium,0.170526908,4,5,0,5.068333228,0.783803532,0,0.789085308,1.23256474,34.81599744,3.713357508,3.3388186,1,0,5,28.76725312,15,24,12,43.59775377,8,0.234530744,3,7.051463635,2.045599052,5.897228016,0,0.335667812,5.972728784,22.93883627,0,33.66177009,60.51982203,70.9948144,154.307834,131.5146364,65.7100802,73.85736351,202.557955,14,7,4,10,10,1,6,15,225,1941,134960.9768,91446.4209,4.202038427,1296.739448,16.07368193,16.9400563,66.98626178,37.44057265,29.34134924,3.217286915,4.450826582,3.834056748,1074.198665,12627.82471,659.3216357,886.7222131,4369.318678,18942.07068
20,ParamountLowPC,-118.157446,33.88357033,C,CD,Low,0.170526908,7,2,0,6.572567884,0.783803532,0,0.789085308,0.23256474,37.12809665,1.713357508,2.3388186,1,0,3,13.383038,11,16,7,36.08737037,8,0.234530744,0,2.247634372,2.045599052,45.3391959,0,0.335667812,3.252265068,18.93883627,0,34.656454,50.49444763,67.81114826,151.8552033,118.3055959,79.76783297,59.32775446,200.9216583,22,5,2,6,11,3,3,15,137,1949.5,147235.458,91807.09912,4.266231812,1298.139903,16.57755102,15.03586596,68.358093,38.77019707,29.36552556,1.980792317,1.243088002,1.611940159,5230.886523,14175.3976,671.6400125,2768.511542,2839.857751,13693.79853
7,Carson Low 1,-118.3079804,33.87910623,D,CD,Medium,0.170526908,7,5,0,5.068333228,0.783803532,0,0.789085308,0.23256474,37.46677444,1.713357508,1.3388186,0,0,0,30.07934462,13,20,6,39.29985514,10,0.234530744,0,2.485386144,2.045599052,18.89722801,0,0.335667812,2.252265068,23.48089314,0,38.15551153,50.72702229,70.18764827,151.3220268,120.9146705,71.02217169,66.60662064,199.2229249,20,3,2,5,9,3,3,12,117,1949.5,180820.8885,207502.8446,4.325633658,1317.183742,11.28773907,24.79742958,62.203467,38.56975901,23.26584359,1.164465786,1.400260048,1.282362917,4676.356738,6444.586265,746.3893654,2921.703533,1411.013544,8946.114577
17,LosAngelesMediumPC,-118.2104158,34.12400239,C,CD,Medium,0.170526908,7,5,2,7.068333228,2.192502312,2,0.789085308,0.23256474,36.81599744,4.366847407,1.3388186,0,0,2,17.383038,21,12,8,39.1664015,9,0.234530744,0,4.485386144,2.045599052,23.26660581,0,0.335667812,2.252265068,21.93883627,0,33.92845041,52.49996115,74.05700308,147.8616444,126.5569642,56.69524287,64.83750264,201.1739541,19,5,4,8,10,3,3,15,182,1922,197385.0878,150618.5266,4.047835205,1176.778304,19.06964871,25.10541741,54.66913702,37.00080345,17.66833356,3.181272509,3.617338458,3.399305484,1264.797626,6291.727381,373.6701775,3041.760535,2300.056735,27703.08744
